classifier,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
RandomForest,Count,Char,Trigrams,0.8,0.2,None,572,L2,0.1731789228853197,Split
kNN,Count,Char,Trigrams,0.8,0.2,1000,572,StandardScaler,0.11907657492633496,Split
SVM,Count,Char,Trigrams,0.8,0.2,1000,572,StandardScaler,0.15549692917060534,Split
Logit,Count,Char,Trigrams,0.8,0.2,1000,572,StandardScaler,0.34670019844397637,Split
RandomForest,Count,Char,Trigrams,0.8,0.2,1000,572,StandardScaler,0.1826490276843329,Split
kNN,Count,Char,Trigrams,0.8,0.2,1000,572,L1,0.06293155445961109,Split
Logit,Count,Char,Trigrams,0.8,0.2,1000,572,L1,0.06619335919854757,Split
SVM,Count,Char,Trigrams,0.8,0.2,1000,572,L1,0.16648978646197948,Split
RandomForest,Count,Char,Trigrams,0.8,0.2,1000,572,L1,0.17783804678348103,Split
kNN,Count,Char,Trigrams,0.8,0.2,1000,572,L2,0.10852539080985744,Split
Logit,Count,Char,Trigrams,0.8,0.2,1000,572,L2,0.18975232401663164,Split
SVM,Count,Char,Trigrams,0.8,0.2,1000,572,L2,0.16035619896777623,Split
RandomForest,Count,Char,Trigrams,0.8,0.2,1000,572,L2,0.17754891357725114,Split
kNN,Count,Char,Trigrams,0.9,0.0,None,3264,StandardScaler,0.06376494058001943,Split
RandomForest,Count,Char,Trigrams,0.9,0.0,None,3264,StandardScaler,0.17440990284396518,Split
Logit,Count,Char,Trigrams,0.9,0.0,None,3264,StandardScaler,0.3485043490279465,Split
SVM,Count,Char,Trigrams,0.9,0.0,None,3264,StandardScaler,0.15354689709123678,Split
kNN,Count,Char,Trigrams,0.9,0.0,None,3264,L1,0.05312527070754421,Split
Logit,Count,Char,Trigrams,0.9,0.0,None,3264,L1,0.06619335919854757,Split
RandomForest,Count,Char,Trigrams,0.9,0.0,None,3264,L1,0.16446807870203625,Split
SVM,Count,Char,Trigrams,0.9,0.0,None,3264,L1,0.1609294356111563,Split
kNN,Count,Char,Trigrams,0.9,0.0,None,3264,L2,0.11600718727110731,Split
Logit,Count,Char,Trigrams,0.9,0.0,None,3264,L2,0.17256482745322185,Split
RandomForest,Count,Char,Trigrams,0.9,0.0,None,3264,L2,0.16549164452120232,Split
SVM,Count,Char,Trigrams,0.9,0.0,None,3264,L2,0.16339708371887457,Split
